Gender,Year of birth,Education,Savings (%),Ages,Investments in green projects,SDG compliance,Mitigation of climate crisis,ESG considerations,Greenwashing risk,CSR,Ethical issues considerations,Avoidance of controversial industries,"I am interested in  investments, saving money or the stock exchange",Sustainable investing opportunities,My financial investments can contribute to solve environmental problems,My investments produce a positive financial return rather than a positive environmental impact,Real estate,Bonds,Stocks,Funds,Commodities,Crowdfunding,Digital asset,Other,Are you currently investing in investment products focusing on the green-energy transition?,Solar energy,Wind energy,Hydro energy,Hydrogen,Energy efficiency solutions,Green building,Electric transportation,In your city or region,In your country,In European countries,In developed non-EU countries,In emerging and developing countries,"If you are already investing in green-energy transition projects, can you tell us in which sectors or geographic zones, as categorized above?",What is the channel you use to invest your money?,What investment platform do you use to invest your money?,Security features,Regulatory compliance,Track record and reputation,Products variety,Customer support,Fees,Ease of use,ROI and risk management,Transparency level,Educational resources,Are you happy with the level of transparency of the investment platform you use?,What is the current rate of the overall annual fees your platform charges (in %)?,"If you know the breakdown of these annual fees, please report it here:",Trading fees,Account fees,Withdrawal fees,Advisory fees,Other fees,Are you happy with the lock-up periods that current investment platform set?,Are you happy with the data security level in your investment platform?,Are you happy with the client support service that your investment platform provides?,How could these platform characteristics impact your investment behaviour?,How familiar are you with the concept of green bonds?,Do you currently invest in green bonds through a financial consultant or through a trading platform?,Use of funds for environmentally-friendly projects,Financial return on investment,Transparency and disclosure of information,Credibility of the issuer,Impact on the environment,What role do you see green bonds playing in your overall investment strategy?,How much of your return would you be willing to give up to receive daily reports on hydro power plant energy producing?,How much of your return would you be willing to give up to be able to sell the bond instantly without delay?,Would you be interested in buying the crypto-denominated bond rather than the CHF-denominated one?,By how much do you require your return to increase when buying this crypto-denominated bond?
Male,1998,BSc,10 - 20,25,Describes explicitly,Describes somehow,Describes explicitly,Describes explicitly,Does not describe,Describes explicitly,Describes explicitly,Describes somehow,I agree,I agree,I am neutral,,Traditional,Traditional,Both,Both,Traditional,Both,Traditional,None,Yes,Interested,Interested,Neutral,Interested,Neutral,Interested,Neutral,Neutral,Neutral,Interested,Interested,Interested,Energy efficiency in Europe,Online platform by myself,TradeRepublic,Important,Important,Somewhat important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Important,Yes,"0 annual fees only set trading fees, which cannot be translated in % because it depends on the orders one makes",,Yes,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,Yes,I don't know,Yes,Yes,I could change the investment portfolio,3,I do not currently invest in green bonds,Somewhat important,Not important,Important,Important,Important,Not a part,0 pp,10 pp,No,0 pp
Female,2000,MSc,10 - 20,23,Describes explicitly,Describes somehow,Describes somehow,Describes explicitly,Does not describe,Describes somehow,Does not describe,Describes somehow,I agree,I agree,I disagree,,None,None,None,None,None,None,Traditional,None,"No, but I would be interested",Neutral,Neutral,Neutral,Neutral,Interested,Interested,Interested,Neutral,Interested,Interested,Neutral,Neutral,,Online platform by myself,Coinbase,Important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Not important,I don't know,I don't remember,,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,I don't know,I don't know,There is no client support services,I could reduce the amount of money to invest;I could change my current investment platform to another one with better conditions,3,I do not currently invest in green bonds,Important,Somewhat important,Important,Important,Important,A minor part,0 pp,0 pp,No,0 pp
Male,1981,MSc,0 - 10,42,Does not describe,Does not describe,Describes somehow,Describes somehow,Does not describe,Does not describe,Describes somehow,Describes somehow,I agree,I agree,I am neutral,,Traditional,None,None,None,None,None,Traditional,None,"No, but I would be interested",Neutral,Neutral,Neutral,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Neutral,,Online platform by myself,Interactive Brokers,Important,Somewhat important,Important,Important,Somewhat important,Important,Important,Important,Somewhat important,Important,I don't know,1,,Yes,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,I don't know / I don't have this type of fees,Yes,I don't know,I don't know,I could change my current investment platform to another one with better conditions,1,I do not currently invest in green bonds,Somewhat important,Important,Somewhat important,Important,Somewhat important,I don't know,0 pp,20 pp,No,30 pp
Male,1995,MSc,20 - 25,28,Describes explicitly,Describes explicitly,Describes explicitly,Describes explicitly,Describes somehow,Describes somehow,Describes explicitly,Describes somehow,I agree,I am neutral,I agree,,None,None,Traditional,Traditional,None,None,Traditional,None,"No, but I would be interested",Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Neutral,Neutral,,Both,Yuh!,Important,Important,Important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Not important,Somewhat important,I don't know,0.5% per investment,,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,I don't know,I could reduce the amount of money to invest;I could change my current investment platform to another one with better conditions,3,I do not currently invest in green bonds,Important,Important,Somewhat important,Somewhat important,Important,A minor part,0 pp,10 pp,No,30 pp
Female,1994,BSc,10 - 20,29,Describes explicitly,Does not describe,Describes somehow,Describes explicitly,Does not describe,Describes explicitly,Describes somehow,Describes somehow,I agree,I agree,I disagree,,None,Traditional,Traditional,None,None,None,None,None,"No, but I would be interested",Interested,Interested,Interested,Not interested,Not interested,Interested,Interested,Interested,Interested,Not interested,Not interested,Interested,,Financial advisor,,,,,,,,,,,,,,,,,,,,,,,,2,I do not currently invest in green bonds,Important,Somewhat important,Important,Important,Important,A key part,0 pp,30+ pp,No,0 pp
Male,1999,MSc,0 - 10,24,Describes explicitly,Describes somehow,Does not describe,Describes somehow,Describes somehow,Describes somehow,Does not describe,Does not describe,I agree,I agree,I disagree,,Traditional,Traditional,Both,Both,Traditional,Both,Traditional,None,"No, but I would be interested",Interested,Neutral,Interested,Interested,Interested,Interested,Neutral,Interested,Interested,Interested,Interested,Neutral,,Online platform by myself,Interactive Brokers ,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Important,Important,Not important,Not important,Somewhat important,Yes,0,,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,Yes,I could change the investment portfolio;I could change my current investment platform to another one with better conditions,3,I do not currently invest in green bonds,Important,Somewhat important,Important,Important,Important,A minor part,0 pp,10 pp,No,30+ pp
Male,1989,MSc,0 - 10,34,Describes explicitly,Describes explicitly,Describes explicitly,Describes explicitly,Describes explicitly,Describes explicitly,Describes explicitly,Describes explicitly,I agree,I agree,I agree,,None,Sustainable,None,None,None,None,Sustainable,None,Yes,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,"Norway, Switzerland, and Rwanda",Online platform by myself,Uniswap and frigg.eco,Somewhat important,Important,Important,Important,Important,Important,Important,Somewhat important,Important,Important,Yes,0%,does not apply,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I could change my current investment platform to another one with better conditions,5,Through a trading platform,Important,Somewhat important,Important,Important,Important,A key part,30 pp,30 pp,Yes,0 pp
Female,1989,PhD,25+,34,Describes explicitly,Describes somehow,Describes somehow,Describes explicitly,Describes explicitly,Describes somehow,Does not describe,Describes explicitly,I agree,I agree,I disagree,,None,None,Both,Both,None,None,None,None,"No, I am not interested",Interested,Neutral,Interested,Neutral,Interested,Interested,Neutral,Interested,Interested,Interested,Neutral,Interested,I have invested in different ETFs that are pooled investments which can be various. I cannot do the full list of projects/companies and/or geographical zones as it is too wide.,Online platform by myself,interactive brokers,Important,Important,Important,Important,Important,Important,Important,Important,Important,Somewhat important,Yes,It depends on the amount of transactions.,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,It doesn't affect me at all,3,I do not currently invest in green bonds,Important,Somewhat important,Important,Important,Important,Not a part,0 pp,0 pp,No,0 pp
Male,1992,MSc,0 - 10,31,Describes somehow,Does not describe,Does not describe,Does not describe,Describes somehow,Describes somehow,Describes somehow,Describes somehow,I agree,I agree,I am neutral,,None,Both,None,Both,None,None,Traditional,None,"No, but I would be interested",Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,,Online platform by myself,Interactive Brokers ,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Yes,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,It doesn't affect me at all,1,I do not currently invest in green bonds,Important,Important,Important,Important,Important,I don't know,0 pp,0 pp,No,0 pp
Male,1984,BSc,10 - 20,39,Describes explicitly,Describes somehow,Describes explicitly,Describes somehow,Describes somehow,Describes somehow,Describes somehow,Describes explicitly,I agree,I agree,I agree,,Traditional,Both,Both,Both,Both,Sustainable,Sustainable,Both,Yes,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,"United States, Canada and Europe",Both,"Charles Schwab, JP Morgan, TD Bank",Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,I don't know,"Varies by fund, equity, etc. - Trading fees are typically 0",Charles Schwab charges approximately 1% per annum as a money manager,Yes,Yes,Yes,No,No,Yes,I don't know,Yes,I could change my current investment platform to another one with better conditions,4,Through a trading platform,Important,Important,Important,Important,Important,A key part,0 pp,30 pp,Yes,30+ pp
